Page Title,Url,Status,Description, Specs, CartEnabled 
Not Found,http://localhost:3000/Products/Bus-Plugs-General-Electric/AC49HEDGI,404,false,false,false
SL37ED4,http://localhost:3000/Products/Bus-Plugs-ABB/SL37ED4,200,true,true,true
BPHFD3100ZN,http://localhost:3000/Products/Bus-Plugs-Eaton/BPHFD3100ZN,200,true,true,true
PBLE36500GN,http://localhost:3000/Products/Bus-Plugs-Schneider-Electric/PBLE36500GN,200,true,true,true
ITAP321GN,http://localhost:3000/Products/Bus-Plugs-Westinghouse/ITAP321GN,200,true,true,true
SB47SFHGI,http://localhost:3000/Products/Bus-Plugs-General-Electric/SB47SFHGI,200,true,true,true
AC42SEP,http://localhost:3000/Products/Bus-Plugs-General-Electric/AC42SEP,200,true,true,true
Not Found,http://localhost:3000/Products/Bus-Plugs-General-Electric/AC312HFK,404,false,false,false
SB415JJGI,http://localhost:3000/Products/Bus-Plugs-ABB/SB415JJGI,200,true,true,true
Not Found,http://localhost:3000/Products/Bus-Plugs-General-Electric/AC410SEDI,404,false,false,false
SB36ED4I,http://localhost:3000/Products/Bus-Plugs-General-Electric/SB36ED4I,200,true,true,true
SB303SEHI,http://localhost:3000/Products/Bus-Plugs-General-Electric/SB303SEHI,200,true,true,true
SD71415G,http://localhost:3000/Products/Bus-Plugs-Schneider-Electric/SD71415G,200,true,true,true
SB350JK6,http://localhost:3000/Products/Bus-Plugs-ABB/SB350JK6,200,true,true,true
Not Found,http://localhost:3000/Products/Bus-Plugs-General-Electric/AC32EBGI,404,false,false,false
SB37SEHI,http://localhost:3000/Products/Bus-Plugs-General-Electric/SB37SEHI,200,true,true,true
BPHMCP050G2GN,http://localhost:3000/Products/Bus-Plugs-Eaton/BPHMCP050G2GN,200,true,true,true
SL37ED6G,http://localhost:3000/Products/Bus-Plugs-General-Electric/SL37ED6G,200,true,true,true
Not Found,http://localhost:3000/Products/Bus-Plugs-General-Electric/AC133ED6G,404,false,false,false
PBQ4240R,http://localhost:3000/Products/Bus-Plugs-Schneider-Electric/PBQ4240R,200,true,true,true
SL36SEHG,http://localhost:3000/Products/Bus-Plugs-General-Electric/SL36SEHG,200,true,true,true
AC48SFL,http://localhost:3000/Products/Bus-Plugs-General-Electric/AC48SFL,200,true,true,true
IBPEHD3025N,http://localhost:3000/Products/Bus-Plugs-Cutler-Hammer/IBPEHD3025N,200,true,true,true
SB48ED4G,http://localhost:3000/Products/Bus-Plugs-ABB/SB48ED4G,200,true,true,true
SL35ED4GI,http://localhost:3000/Products/Bus-Plugs-General-Electric/SL35ED4GI,200,true,true,true
BPHMCPS003A0CN,http://localhost:3000/Products/Bus-Plugs-Eaton/BPHMCPS003A0CN,200,true,true,true
SL411ED4G,http://localhost:3000/Products/Bus-Plugs-General-Electric/SL411ED4G,200,true,true,true
Not Found,http://localhost:3000/Products/Bus-Plugs-General-Electric/AC35ED4GI,404,false,false,false
SL49HEDGI,http://localhost:3000/Products/Bus-Plugs-General-Electric/SL49HEDGI,200,true,true,true
PQ3610GJ,http://localhost:3000/Products/Bus-Plugs-Square-D/PQ3610GJ,200,true,true,true
Not Found,http://localhost:3000/Products/Bus-Plugs-General-Electric/AC43SELGI,404,false,false,false
SB42SELG,http://localhost:3000/Products/Bus-Plugs-ABB/SB42SELG,200,true,true,true
PFI34040G,http://localhost:3000/Products/Bus-Plugs-Square-D/PFI34040G,200,true,true,true
SL49HFK,http://localhost:3000/Products/Bus-Plugs-ABB/SL49HFK,200,true,true,true
PKC34125GN,http://localhost:3000/Products/Bus-Plugs-Square-D/PKC34125GN,200,true,true,true
Not Found,http://localhost:3000/Products/Bus-Plugs-General-Electric/AC49ED6GI,404,false,false,false
SL44ED6I,http://localhost:3000/Products/Bus-Plugs-General-Electric/SL44ED6I,200,true,true,true
FVK340JK4,http://localhost:3000/Products/Bus-Plugs-General-Electric/FVK340JK4,200,true,true,true
DE410EB,http://localhost:3000/Products/Bus-Plugs-General-Electric/DE410EB,200,true,true,true
FVK412ED6,http://localhost:3000/Products/Bus-Plugs-General-Electric/FVK412ED6,200,true,true,true
PFA32090GN,http://localhost:3000/Products/Bus-Plugs-Square-D/PFA32090GN,200,true,true,true
PQ4220GGS,http://localhost:3000/Products/Bus-Plugs-Schneider-Electric/PQ4220GGS,200,true,true,true
FVK315JJG,http://localhost:3000/Products/Bus-Plugs-General-Electric/FVK315JJG,200,true,true,true
Not Found,http://localhost:3000/Products/Bus-Plugs-General-Electric/AC39SEHI,404,false,false,false
PIF34100,http://localhost:3000/Products/Bus-Plugs-Square-D/PIF34100,200,true,true,true
SB315SFL,http://localhost:3000/Products/Bus-Plugs-General-Electric/SB315SFL,200,true,true,true
SB44ED6,http://localhost:3000/Products/Bus-Plugs-ABB/SB44ED6,200,true,true,true
SL37FJGI,http://localhost:3000/Products/Bus-Plugs-General-Electric/SL37FJGI,200,true,true,true
PTMH36300GCLH,http://localhost:3000/Products/Bus-Plugs-Schneider-Electric/PTMH36300GCLH,200,true,true,true
SB415SED,http://localhost:3000/Products/Bus-Plugs-General-Electric/SB415SED,200,true,true,true
